label,message
spam,Win money now click here free prize
spam,Free gift claim your reward today
spam,Congratulations you won a lottery prize
spam,Get free recharge now limited offer
spam,Urgent your account is suspended click here
spam,Claim your exclusive cash reward now
spam,Buy cheap medicine online guaranteed
spam,You have been selected for a free iPhone
spam,Click here to earn money from home
spam,Exclusive deal save 90 percent today only
spam,Win a free holiday trip click now
spam,Your payment is ready to claim free cash
spam,Hot singles in your area click here
spam,Make money fast guaranteed income now
spam,Free bonus reward waiting for you
ham,Hi can we meet tomorrow for lunch
ham,Please review the attached project report
ham,The meeting is scheduled for 10am
ham,Just checking in hope you are doing well
ham,Can you send me the updated document
ham,Let me know when you are free to talk
ham,Thanks for your help with the project
ham,See you at the office tomorrow morning
ham,I will call you later this evening
ham,Happy birthday hope you have a great day
ham,The team sync is moved to Friday
ham,Please complete the form before deadline
ham,Good morning how was your weekend
ham,Reminder about our call at 3pm today
ham,Could you please review this document